sample	fastq_frag_count	genome_mapped	tophat_genome_mapped	star_genome_mapped	trans_mapped	trans_mapped	rRNA_count	rRNA	gene_count	tube	mass	mar
GBMT_C06_S222	649	320	49.31	-0.15	124	19.11	10	1.54	104	54	87.50009	1.205069
GBMT_C07_S223	1038096	694083	66.86	0	581761	56.04	34373	3.31	3404	46	62.64361	-0.5195125
GBMT_C08_S224	549630	283151	51.52	0	206896	37.64	20252	3.68	2516	38	68.031	-0.4183314
GBMT_C09_S225	999183	674911	67.55	0	499530	49.99	108191	10.83	3355	30	59.50724	-0.4221865
GBMT_C10_S226	2694139	1847034	68.56	0	1139188	42.28	137221	5.09	4366	22	62.2964	-0.26658
GBMT_C11_S227	1793991	1458500	81.3	0	759551	42.34	87170	4.86	7295	14	64.08492	1.386342
GBMT_C12_S228	693223	322006	46.45	0	247433	35.69	20286	2.93	2470	6	91.96091	2.041505
GBMT_D01_S229	297775	36946	12.41	0	15422	5.18	3553	1.19	493	93	57.05913	0.8613867
GBMT_D02_S230	1727334	1371656	79.41	0	715800	41.44	101882	5.9	5819	85	87.20977	1.014878
GBMT_D03_S231	1652889	1325081	80.17	0	566604	34.28	69082	4.18	6905	77	47.26174	0.27522
GBMT_D04_S232	1195	469	39.25	-0.08	60	5.02	6	0.5	53	69	57.50133	2.37112
GBMT_D05_S233	1691575	1375531	81.32	0	638273	37.73	103064	6.09	7061	61	80.14127	0.8723663
GBMT_D06_S234	761828	259196	34.02	0	181104	23.77	25221	3.31	1801	53	79.50597	-0.4036726
GBMT_D07_S235	589444	231806	39.33	0	160465	27.22	17761	3.01	2120	45	80.15355	0.6437071
GBMT_D08_S236	2196482	1615559	73.55	0	1302903	59.32	115970	5.28	3389	37	110.6407	0.3007933
GBMT_D09_S237	1916809	1567959	81.8	0	890667	46.47	106064	5.53	7043	29	59.54576	1.043685
GBMT_D10_S238	1178905	671897	56.99	0	445604	37.8	21959	1.86	2852	21	109.8765	2.048377
GBMT_D11_S239	1106902	776961	70.19	0	604361	54.6	98004	8.85	3532	13	67.17554	0.747717
GBMT_D12_S240	2241694	1802698	80.42	0	1120106	49.97	114654	5.11	5579	5	70.85108	1.857934
GBMT_E01_S241	1611	581	36.06	-0.06	151	9.37	14	0.87	136	92	64.79551	2.258528
GBMT_E02_S242	1634240	1287405	78.78	0	632946	38.73	87330	5.34	6514	84	70.97105	1.135411
GBMT_E03_S243	1140633	857144	75.15	0	642600	56.34	119861	10.51	4585	76	52.546	0.932287
GBMT_E04_S244	2639474	2142979	81.19	0	1238463	46.92	135686	5.14	5974	68	63.09451	0.9938799
GBMT_E05_S245	1882070	1544643	82.07	0	841881	44.73	132330	7.03	8037	60	93.2732	-0.3547088
GBMT_E06_S246	797171	409327	51.35	0	277355	34.79	90298	11.33	2056	52	65.80324	-0.1116936
GBMT_E07_S247	1878555	1551218	82.58	0	812193	43.23	108601	5.78	7287	44	106.9472	0.3080071
GBMT_E08_S248	2772728	2288296	82.53	0	1256482	45.32	154687	5.58	6732	36	53.20797	0.7949746
GBMT_E09_S249	1873465	1528366	81.58	0	806859	43.07	91574	4.89	6837	28	64.92257	-0.2691126
GBMT_E10_S250	1725	983	56.99	-0.06	393	22.78	57	3.3	335	20	69.78732	1.159003
GBMT_E11_S251	1464447	253920	17.34	0	203669	13.91	4253	0.29	1424	12	59.82796	1.083872
GBMT_E12_S252	1147075	912539	79.55	0	537505	46.86	64136	5.59	5786	4	97.6482	0.9808418
GBMT_F01_S253	6536	3538	54.13	-0.02	431	6.59	2062	31.55	353	91	107.7664	2.605075
GBMT_F02_S254	5377	2829	52.61	-0.02	651	12.11	870	16.18	485	83	-9999999	-9999999
GBMT_F03_S255	9646	6055	62.77	-0.01	2317	24.02	1630	16.9	1387	75	56.64101	-0.237933
GBMT_F04_S256	4224	1962	46.45	-0.02	342	8.1	372	8.81	279	67	88.08962	1.483903
GBMT_F05_S257	22107	17577	79.51	0	9433	42.67	1420	6.42	3170	59	89.26994	-0.7975139
GBMT_F06_S258	1525	830	54.43	-0.07	155	10.16	20	1.31	124	51	63.47682	0.4727266
GBMT_F07_S259	6680	4017	60.13	-0.01	1327	19.87	1180	17.66	847	43	67.91227	-0.1808549
GBMT_F08_S260	3018	1799	59.61	-0.03	472	15.64	363	12.03	365	35	110.9279	1.186145
GBMT_F09_S261	46095	34664	75.2	0	16561	35.93	6454	14	4029	27	60.21142	0.1636015
GBMT_F10_S262	1407	708	50.32	-0.07	167	11.87	27	1.92	143	19	104.7774	-0.003633237
GBMT_F11_S263	4350	2710	62.3	-0.02	1114	25.61	189	4.34	763	11	99.19579	3.489392
GBMT_F12_S264	15192	8694	57.23	-0.01	2090	13.76	3311	21.79	1250	3	54.21484	2.465309
GBMT_G01_S265	1656673	1355309	81.81	0	657665	39.7	96726	5.84	6907	90	72.33717	1.513896
GBMT_G02_S266	1883380	1498660	79.57	0	724186	38.45	76632	4.07	6498	82	60.53452	1.739344
GBMT_G03_S267	1717052	1334855	77.74	0	728365	42.42	111096	6.47	6056	74	47.09094	0.5574857
GBMT_G04_S268	1878898	1560036	83.03	0	872405	46.43	116572	6.2	7691	66	83.76108	0.2331624
GBMT_G05_S269	5062	3230	63.81	-0.02	1163	22.98	166	3.28	791	58	96.33173	0.02070367
GBMT_G06_S270	2047195	1782086	87.05	0	929601	45.41	111383	5.44	8802	50	-9999999	-9999999
GBMT_G07_S271	1349634	996903	73.86	0	785444	58.2	80591	5.97	4371	42	61.09899	-0.264462
GBMT_G08_S272	1733612	1461817	84.32	0	673366	38.84	75810	4.37	7859	34	66.5644	-0.4961887
GBMT_G09_S273	3554	1832	51.55	-0.03	515	14.49	102	2.87	386	26	58.72655	0.3479493
GBMT_G10_S274	2400082	2005993	83.58	0	974249	40.59	113466	4.73	6970	18	57.13683	2.119984
GBMT_G11_S275	2638249	1685876	63.9	0	1014746	38.46	87113	3.3	3916	10	70.87577	1.071143
GBMT_G12_S276	1584053	618366	39.04	0	238637	15.06	64614	4.08	3683	2	88.05212	0.9808544
GBMT_H01_S277	2265064	1795165	79.25	0	1023358	45.18	137515	6.07	5334	89	55.14486	1.55087
GBMT_H02_S278	2074229	1689155	81.44	0	889393	42.88	74268	3.58	6220	81	66.30499	-0.1161882
GBMT_H03_S279	2106752	1719273	81.61	0	672712	31.93	109970	5.22	6108	73	69.73187	0.4885448
GBMT_H04_S280	1419773	770141	54.24	0	315328	22.21	71265	5.02	4170	65	86.37492	0.5545386
GBMT_H05_S281	2556121	2078005	81.3	0	1226424	47.98	142689	5.58	6008	57	-9999999	-9999999
GBMT_H06_S282	516964	65204	12.61	0	39343	7.61	7262	1.4	1098	49	72.8753	-0.1559937
GBMT_H07_S283	2018151	1660232	82.27	0	849435	42.09	110826	5.49	6994	41	79.70142	0.2013696
GBMT_H08_S284	2104	1293	61.45	-0.05	1013	48.15	56	2.66	542	33	75.6655	0.09231172
GBMT_H09_S285	1895064	1468844	77.51	0	1069351	56.43	149223	7.87	5741	25	71.50743	0.007148789
GBMT_H10_S286	293	142	48.46	-0.34	45	15.36	1	0.34	40	17	50.10248	0.6106454
GBMT_H11_S287	1150189	835615	72.65	0	673070	58.52	40838	3.55	4326	9	88.67219	1.300144
GBMT_H12_S288	1666471	507410	30.45	0	396013	23.76	14215	0.85	2043	1	50.04477	1.087567
