sample	fastq_frag_count	genome_mapped	tophat_genome_mapped	star_genome_mapped	trans_mapped	trans_mapped	rRNA_count	rRNA	gene_count	tube	mass	mar
GBMUT_E02_S146	1354194	999923	73.84	0	590901	43.63	186739	13.79	7043	13	58.75696	0.9664096
GBMUT_E03_S147	23187	15718	67.79	0	10105	43.58	5134	22.14	3178	21	51.11846	0.529375
GBMUT_E04_S148	427442	273796	64.05	0	124534	29.13	61793	14.46	6770	29	48.17495	1.436362
GBMUT_E05_S149	179757	121068	67.35	0	50562	28.13	24632	13.7	6007	37	-999999	-999999
GBMUT_E06_S150	386782	282022	72.91	0	147701	38.19	69334	17.93	7635	45	90.3771	2.744126
GBMUT_E07_S151	1211	374	30.88	-0.08	42	3.47	4	0.33	39	53	43.41258	1.000223
GBMUT_E08_S152	674147	513036	76.1	0	264030	39.17	139455	20.69	6914	61	56.91235	1.798668
GBMUT_E09_S153	236306	156805	66.36	0	72790	30.8	31146	13.18	6495	69	-999999	-999999
GBMUT_E10_S154	763072	494314	64.78	0	260678	34.16	113136	14.83	6447	77	88.77355	1.901987
GBMUT_E11_S155	985252	746467	75.76	0	377675	38.33	199716	20.27	10227	85	69.25779	2.190635
GBMUT_E12_S156	351064	223655	63.71	0	115695	32.96	50345	14.34	5566	93	57.90214	1.877632
GBMUT_F01_S157	277965	199781	71.87	0	87114	31.34	48751	17.54	6306	6	36.15437	1.186659
GBMUT_F02_S158	409767	281644	68.73	0	169689	41.41	57640	14.07	7054	14	52.89186	0.3026208
GBMUT_F03_S159	4876618	3490224	71.57	0	1982813	40.66	610353	12.52	6493	22	30.19474	-1.20512
GBMUT_F04_S160	207578	138289	66.62	0	58343	28.11	31867	15.35	5176	30	82.24721	2.722652
GBMUT_F05_S161	580311	456528	78.67	0	222770	38.39	97167	16.74	7585	38	63.30611	0.7017971
GBMUT_F06_S162	228368	146254	64.04	0	45421	19.89	12982	5.68	5176	46	49.70477	0.4245052
GBMUT_F07_S163	3263951	1835552	56.24	0	1173540	35.95	131086	4.02	6083	54	44.67833	0.7742518
GBMUT_F08_S164	264987	190278	71.81	0	92527	34.92	41081	15.5	6664	62	59.60482	1.84414
GBMUT_F09_S165	275210	187945	68.29	0	86455	31.41	34358	12.48	6413	70	73.62925	2.79212
GBMUT_F10_S166	222656	136348	61.24	0	71379	32.06	33085	14.86	4508	78	38.74839	1.272384
GBMUT_F11_S167	4292585	3567014	83.1	0	2027126	47.22	613968	14.3	8578	86	68.88515	1.755415
GBMUT_F12_S168	92236	31066	33.68	0	11073	12.01	6099	6.61	1669	94	-999999	-999999
GBMUT_G01_S169	734673	554008	75.41	0	229538	31.24	120663	16.42	6757	7	44.84439	0.1800206
GBMUT_G02_S170	976690	720561	73.78	0	316580	32.41	166031	17	7269	15	103.8038	4.417616
GBMUT_G03_S171	406882	229783	56.47	0	133207	32.74	37858	9.3	4815	23	30.03714	0.6009193
GBMUT_G04_S172	983093	728834	74.14	0	338141	34.4	199032	20.25	8372	31	49.33742	1.085027
GBMUT_G05_S173	714962	530170	74.15	0	246169	34.43	127632	17.85	7695	39	53.80827	1.315104
GBMUT_G06_S174	501161	333128	66.47	0	176019	35.12	115507	23.05	4600	47	41.31702	1.350999
GBMUT_G07_S175	1764069	1404743	79.63	0	654758	37.12	357110	20.24	6966	55	47.73525	0.6972224
GBMUT_G08_S176	4010346	2990809	74.58	0	1556279	38.81	721358	17.99	7378	63	56.5121	3.530269
GBMUT_G09_S177	786428	562102	71.48	0	267831	34.06	145547	18.51	8229	71	50.1785	1.485249
GBMUT_G10_S178	672938	437207	64.97	0	182494	27.12	96911	14.4	5064	79	50.10956	1.502128
GBMUT_G11_S179	31744	20637	65.01	0	10515	33.12	7172	22.59	2501	87	73.3056	2.868767
GBMUT_G12_S180	645278	386830	59.95	0	189100	29.31	40899	6.34	4531	95	64.90461	2.645187
GBMUT_H01_S181	26581	16893	63.55	0	9625	36.21	4714	17.73	2682	8	40.3721	0.7857171
GBMUT_H02_S182	8272	4574	55.29	-0.01	2374	28.7	1215	14.69	1330	16	91.20864	0.4251693
GBMUT_H03_S183	10384	5680	54.7	-0.01	3571	34.39	1507	14.51	1309	24	15.00969	0.4177949
GBMUT_H04_S184	511	224	43.84	-0.2	40	7.83	40	7.83	37	32	54.51444	0.8751484
GBMUT_H05_S185	412	202	49.03	-0.24	45	10.92	41	9.95	39	40	40.65353	0.4763348
GBMUT_H06_S186	67560	38893	57.57	0	3329	4.93	5451	8.07	985	48	40.99138	1.18506
GBMUT_H07_S187	521	228	43.76	-0.19	85	16.31	17	3.26	77	56	49.66568	0.3452163
GBMUT_H08_S188	517	110	21.28	-0.19	11	2.13	11	2.13	11	64	-999999	-999999
GBMUT_H09_S189	1442	472	32.73	-0.07	122	8.46	77	5.34	110	72	57.16031	2.010411
GBMUT_H10_S190	26310	16374	62.23	0	9416	35.79	4172	15.86	2383	80	52.48891	1.567719
GBMUT_H11_S191	173265	111780	64.51	0	91881	53.03	10063	5.81	3083	88	59.10647	0.7718077
GBMUT_H12_S192	1532	487	31.79	-0.07	263	17.17	89	5.81	185	96	49.44356	0.4204014
